timestamp,action,symbol,reason,detail
2026-07-02T12:20:08.658399+00:00,BUY,META,"score=+58 size=$10,000",tech=+36 fund=+73 price=$612.91
2026-07-02T12:20:08.961845+00:00,BUY,V,"score=+58 size=$10,000",tech=+50 fund=+64 price=$351.08
2026-07-02T12:20:08.962168+00:00,SKIP(day-cap),GOOGL,score=+53,tech=+23 fund=+73 price=$361.21
2026-07-02T12:20:08.962273+00:00,SKIP(day-cap),AMZN,score=+46,tech=+41 fund=+50 price=$241.70
2026-07-02T12:20:08.962347+00:00,SKIP(day-cap),JPM,score=+46,tech=+55 fund=+41 price=$334.07
2026-07-02T12:20:08.962408+00:00,SKIP(day-cap),AAPL,score=+33,tech=-14 fund=+64 price=$294.38
2026-07-02T12:20:08.962475+00:00,SKIP(day-cap),MSFT,score=+31,tech=-32 fund=+73 price=$384.28
2026-07-02T12:35:16.241302+00:00,SKIP(day-cap),META,score=+58,tech=+36 fund=+73 price=$612.91
2026-07-02T12:35:16.244739+00:00,SKIP(day-cap),V,score=+58,tech=+50 fund=+64 price=$351.08
2026-07-02T12:35:16.244878+00:00,SKIP(day-cap),GOOGL,score=+53,tech=+23 fund=+73 price=$361.21
2026-07-02T12:35:16.244983+00:00,SKIP(day-cap),AMZN,score=+46,tech=+41 fund=+50 price=$241.70
2026-07-02T12:35:16.245086+00:00,SKIP(day-cap),JPM,score=+46,tech=+55 fund=+41 price=$334.07
2026-07-02T12:35:16.245183+00:00,SKIP(day-cap),AAPL,score=+33,tech=-14 fund=+64 price=$294.38
2026-07-02T12:35:16.245279+00:00,SKIP(day-cap),MSFT,score=+31,tech=-32 fund=+73 price=$384.28
2026-07-02T13:25:09.836958+00:00,SKIP(day-cap),META,score=+58,tech=+36 fund=+73 price=$612.91
2026-07-02T13:25:09.837030+00:00,SKIP(day-cap),V,score=+58,tech=+50 fund=+64 price=$351.08
2026-07-02T13:25:09.837077+00:00,SKIP(day-cap),GOOGL,score=+53,tech=+23 fund=+73 price=$361.21
2026-07-02T13:25:09.837119+00:00,SKIP(day-cap),AMZN,score=+46,tech=+41 fund=+50 price=$241.70
2026-07-02T13:25:09.837158+00:00,SKIP(day-cap),JPM,score=+46,tech=+55 fund=+41 price=$334.07
2026-07-02T13:25:09.837196+00:00,SKIP(day-cap),AAPL,score=+33,tech=-14 fund=+64 price=$294.38
2026-07-02T13:25:09.837233+00:00,SKIP(day-cap),MSFT,score=+31,tech=-32 fund=+73 price=$384.28
2026-07-03T12:30:44.130605+00:00,HOLD,META,score=+60 pnl=-3.6%,tech=+41 fund=+73 price=$582.90
2026-07-03T12:30:44.527033+00:00,HOLD,V,score=+58 pnl=+1.9%,tech=+50 fund=+64 price=$362.13
2026-07-03T12:30:49.047692+00:00,BUY,AAPL,"score=+65 size=$9,982",tech=+68 fund=+64 price=$308.63
2026-07-03T12:30:49.075271+00:00,BUY,MSFT,"score=+60 size=$9,982",tech=+41 fund=+73 price=$390.49
2026-07-03T12:30:49.075332+00:00,SKIP(day-cap),GOOGL,score=+60,tech=+41 fund=+73 price=$359.91
2026-07-03T12:30:49.075377+00:00,SKIP(day-cap),AMZN,score=+46,tech=+41 fund=+50 price=$242.67
2026-07-03T12:30:49.075417+00:00,SKIP(day-cap),JPM,score=+46,tech=+55 fund=+41 price=$334.47
2026-07-06T17:18:08.704926+00:00,HOLD,AAPL,score=+60 pnl=+1.2%,tech=+55 fund=+64 price=$312.57
2026-07-06T17:18:09.173402+00:00,HOLD,META,score=+55 pnl=-1.7%,tech=+27 fund=+73 price=$594.40
2026-07-06T17:18:09.642588+00:00,HOLD,MSFT,score=+55 pnl=+0.2%,tech=+27 fund=+73 price=$385.80
2026-07-06T17:18:10.098147+00:00,HOLD,V,score=+60 pnl=+0.2%,tech=+55 fund=+64 price=$356.17
2026-07-06T17:18:13.212916+00:00,SKIP(day-cap),GOOGL,score=+55,tech=+27 fund=+73 price=$364.28
2026-07-06T17:18:13.213003+00:00,SKIP(day-cap),JPM,score=+46,tech=+55 fund=+41 price=$336.18
2026-07-06T17:18:13.213078+00:00,SKIP(day-cap),AMZN,score=+41,tech=+27 fund=+50 price=$245.18
2026-07-07T13:55:35.957035+00:00,HOLD,AAPL,score=+60 pnl=+0.7%,tech=+55 fund=+64 price=$311.26
2026-07-07T13:55:36.773513+00:00,HOLD,META,score=+58 pnl=+1.1%,tech=+36 fund=+73 price=$611.36
2026-07-07T13:55:37.649176+00:00,HOLD,MSFT,score=+55 pnl=+2.3%,tech=+27 fund=+73 price=$393.70
2026-07-07T13:55:38.532492+00:00,HOLD,V,score=+60 pnl=-0.4%,tech=+55 fund=+64 price=$354.16
2026-07-07T13:55:44.271976+00:00,BUY,GOOGL,"score=+58 size=$10,037",tech=+36 fund=+73 price=$372.83
2026-07-07T13:55:44.333698+00:00,BUY,JPM,"score=+46 size=$10,037",tech=+55 fund=+41 price=$341.06
2026-07-07T13:55:44.333787+00:00,SKIP(day-cap),AMZN,score=+41,tech=+27 fund=+50 price=$248.62
2026-07-08T11:59:46.344502+00:00,HOLD,AAPL,score=+60 pnl=+0.3%,tech=+55 fund=+64 price=$310.66
2026-07-08T11:59:46.709104+00:00,HOLD,GOOGL,score=+55 pnl=-2.7%,tech=+27 fund=+73 price=$367.03
2026-07-08T11:59:47.160082+00:00,HOLD,JPM,score=+46 pnl=-1.2%,tech=+55 fund=+41 price=$339.22
2026-07-08T11:59:47.510835+00:00,HOLD,META,score=+64 pnl=+0.5%,tech=+50 fund=+73 price=$615.58
2026-07-08T11:59:47.913963+00:00,HOLD,MSFT,score=+55 pnl=-0.2%,tech=+27 fund=+73 price=$388.84
2026-07-08T11:59:48.293899+00:00,HOLD,V,score=+60 pnl=-1.2%,tech=+55 fund=+64 price=$352.20
2026-07-08T11:59:50.126958+00:00,BUY,AMZN,"score=+41 size=$9,955",tech=+27 fund=+50 price=$245.98
2026-07-08T11:59:50.202867+00:00,BUY,XOM,"score=+30 size=$9,955",tech=+27 fund=+32 price=$141.69
2026-07-09T16:13:34.570922+00:00,HOLD,AAPL,score=+60 pnl=+1.7%,tech=+55 fund=+64 price=$314.39
2026-07-09T16:13:34.975397+00:00,HOLD,AMZN,score=+41 pnl=-0.6%,tech=+27 fund=+50 price=$241.45
2026-07-09T16:13:35.419196+00:00,HOLD,GOOGL,score=+33 pnl=-5.1%,tech=-27 fund=+73 price=$353.78
2026-07-09T16:13:35.968508+00:00,HOLD,JPM,score=+39 pnl=-1.3%,tech=+36 fund=+41 price=$336.69
2026-07-09T16:13:36.530752+00:00,HOLD,META,score=+58 pnl=+0.8%,tech=+36 fund=+73 price=$610.03
2026-07-09T16:13:37.011216+00:00,HOLD,MSFT,score=+29 pnl=-1.5%,tech=-36 fund=+73 price=$379.50
2026-07-09T16:13:37.519654+00:00,HOLD,V,score=+60 pnl=-2.3%,tech=+55 fund=+64 price=$347.27
2026-07-09T16:13:38.185160+00:00,HOLD,XOM,score=+5 pnl=-3.0%,tech=-36 fund=+32 price=$138.35
2026-07-09T16:13:39.272685+00:00,BUY,NVDA,"score=+63 size=$9,887",tech=+27 fund=+86 price=$201.99
2026-07-10T13:23:04.123046+00:00,HOLD,AAPL,score=+60 pnl=+1.8%,tech=+55 fund=+64 price=$316.22
2026-07-10T13:23:04.528916+00:00,HOLD,AMZN,score=+41 pnl=+2.2%,tech=+27 fund=+50 price=$247.04
2026-07-10T13:23:04.895975+00:00,HOLD,GOOGL,score=+55 pnl=-4.0%,tech=+27 fund=+73 price=$358.89
2026-07-10T13:23:05.334812+00:00,HOLD,JPM,score=+39 pnl=-0.9%,tech=+36 fund=+41 price=$335.47
2026-07-10T13:23:05.758787+00:00,HOLD,META,score=+58 pnl=+8.3%,tech=+36 fund=+73 price=$631.48
2026-07-10T13:23:06.286887+00:00,HOLD,MSFT,score=+55 pnl=+0.8%,tech=+27 fund=+73 price=$384.36
2026-07-10T13:23:06.778631+00:00,HOLD,NVDA,score=+63 pnl=+0.1%,tech=+27 fund=+86 price=$202.78
2026-07-10T13:23:07.191426+00:00,HOLD,V,score=+60 pnl=-1.6%,tech=+55 fund=+64 price=$348.20
2026-07-10T13:23:07.749671+00:00,HOLD,XOM,score=+5 pnl=-3.3%,tech=-36 fund=+32 price=$137.46
2026-07-13T13:40:48.992049+00:00,HOLD,AAPL,score=+60 pnl=+3.9%,tech=+55 fund=+64 price=$321.19
2026-07-13T13:40:49.466317+00:00,HOLD,AMZN,score=+41 pnl=+2.2%,tech=+27 fund=+50 price=$248.26
2026-07-13T13:40:49.840308+00:00,HOLD,GOOGL,score=+33 pnl=-4.4%,tech=-27 fund=+73 price=$356.53
2026-07-13T13:40:50.344978+00:00,HOLD,JPM,score=+39 pnl=-1.6%,tech=+36 fund=+41 price=$335.88
2026-07-13T13:40:50.786294+00:00,HOLD,META,score=+58 pnl=+11.5%,tech=+36 fund=+73 price=$674.10
2026-07-13T13:40:51.421100+00:00,HOLD,MSFT,score=+55 pnl=+1.0%,tech=+27 fund=+73 price=$388.89
2026-07-13T13:40:51.889223+00:00,HOLD,NVDA,score=+63 pnl=+3.3%,tech=+27 fund=+86 price=$208.79
2026-07-13T13:40:52.281770+00:00,HOLD,V,score=+60 pnl=-0.3%,tech=+55 fund=+64 price=$354.50
2026-07-13T13:40:52.843439+00:00,HOLD,XOM,score=+30 pnl=+0.2%,tech=+27 fund=+32 price=$142.93
2026-07-13T14:09:05.246030+00:00,UNIVERSE,-,ai-thematic,AI主题股池 2026-07-06（8天前生成，30只）@ universe.json
